Community Water System,County,EOHHS Region,EP Region,Community,Water Source,# of Residential Connections,Winter / Year Round Population Served
Dudley Water Department,Worcester,Central,Central MA Public Health Coalition,Dudley,Ground Water,2376,7644
East Brookfield Water Department,Worcester,Central,Central MA Public Health Coalition,East Brookfield,Ground Water,619,1526
Fitchburg DPW Division Of Water Supply,Worcester,Central,Central MA Public Health Coalition,Fitchburg,Surface Water,11121,40545
Gardner Water Department,Worcester,Central,Central MA Public Health Coalition,Gardner,Ground Water,5697,19418
Countryside Condominium,Worcester,Central,Central MA Public Health Coalition,Grafton,Ground Water,24,30
Grafton Water District,Worcester,Central,Central MA Public Health Coalition,Grafton,Ground Water,4439,10925
Laurel Hill Condominiums,Worcester,Central,Central MA Public Health Coalition,Grafton,Ground Water,2,64
Ledgewood Estates Condominiums,Worcester,Central,Central MA Public Health Coalition,Grafton,Ground Water,12,48
South Grafton Water District,Worcester,Central,Central MA Public Health Coalition,Grafton,Ground Water,918,3236
Eagle Hill School,Worcester,Central,Central MA Public Health Coalition,Hardwick,Ground Water,13,300
Gilbertville Water District,Worcester,Central,Central MA Public Health Coalition,Hardwick,Ground Water,207,1000
Hardwick Center Water District,Worcester,Central,Central MA Public Health Coalition,Hardwick,Ground Water,18,80
Wheelwright Water District,Worcester,Central,Central MA Public Health Coalition,Hardwick,Ground Water,84,300
Ayer Road Properties LLC,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,4,150
Clinton Shore Drive Condominiums,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,16,70
Craftsman Village,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,20,0
Foxglove Apartments,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,1,40
Harvard Green Condominiums,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,35,150
Harvard Water Department,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,98,1650
Pine Hill Village,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,23,100
Saint Benedict Abbey,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,3,25
Still River Realty Trust,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,17,66
Trail Ridge Condominiums,Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,20,104
"Willard Shores, Inc.",Worcester,Central,Central MA Public Health Coalition,Harvard,Ground Water,15,60
"Holden Water Division, DPW",Worcester,Central,Central MA Public Health Coalition,Holden,Purchased Surface Water,6431,17299
Hopedale Water Department,Worcester,Central,Central MA Public Health Coalition,Hopedale,Ground Water,2180,5966
Briarwood Townhomes,Worcester,Central,Central MA Public Health Coalition,Hubbardston,Ground Water,21,40
Hubbardston House Apartments,Worcester,Central,Central MA Public Health Coalition,Hubbardston,Ground Water,2,40
Morgan Apartments,Worcester,Central,Central MA Public Health Coalition,Hubbardston,Ground Water,1,32
Silverleaf Hollow Condominiums,Worcester,Central,Central MA Public Health Coalition,Hubbardston,Ground Water,20,40
Lancaster Water Department,Worcester,Central,Central MA Public Health Coalition,Lancaster,Ground Water,1894,6000
Lancaster Woods Condominiums,Worcester,Central,Central MA Public Health Coalition,Lancaster,Ground Water,30,120
Cherry Valley/ Rochdale Water District,Worcester,Central,Central MA Public Health Coalition,Leicester,Ground Water,1238,3685
Hillcrest Water District,Worcester,Central,Central MA Public Health Coalition,Leicester,Ground Water,393,1500
Leicester Garden Apartments,Worcester,Central,Central MA Public Health Coalition,Leicester,Ground Water,24,60
Leicester Water Supply District,Worcester,Central,Central MA Public Health Coalition,Leicester,Ground Water,707,3200
Staffordshire Country Estates,Worcester,Central,Central MA Public Health Coalition,Leicester,Ground Water,82,140
Westland Meadows,Worcester,Central,Central MA Public Health Coalition,Leicester,Ground Water,48,75
Leominster Water Division,Worcester,Central,Central MA Public Health Coalition,Leominster,Surface Water,13371,40490
Fairlane Mobile Home Park,Worcester,Central,Central MA Public Health Coalition,Lunenburg,Ground Water,18,50
Lunenburg Water District,Worcester,Central,Central MA Public Health Coalition,Lunenburg,Ground Water,2473,6973
Meadow Woods Mobile Home Park,Worcester,Central,Central MA Public Health Coalition,Lunenburg,Ground Water,59,70
Mendon Housing Authority,Worcester,Central,Central MA Public Health Coalition,Mendon,Ground Water,6,31
Mendon Water Department,Worcester,Central,Central MA Public Health Coalition,Mendon,Surface Water,153,470
Milford Water Department,Worcester,Central,Central MA Public Health Coalition,Milford,Surface Water,9120,27999
"Aquarion Water Company, Millbury",Worcester,Central,Central MA Public Health Coalition,Millbury,Ground Water,3803,9431
Millbury Ind. Park/ Park Hill Village,Worcester,Central,Central MA Public Health Coalition,Millbury,Purchased Surface Water,26,400
North Brookfield Water Department,Worcester,Central,Central MA Public Health Coalition,North Brookfield,Surface Water,1276,3815
Northbridge Water Division,Worcester,Central,Central MA Public Health Coalition,Northbridge,Purchased Ground Water,2442,7996
Whitinsville Water Company,Worcester,Central,Central MA Public Health Coalition,Northbridge,Ground Water,2348,8037
"Aquarion Water Company, Oxford",Worcester,Central,Central MA Public Health Coalition,Oxford,Ground Water,2640,6837
Buffumville Heights Estates Condominium,Worcester,Central,Central MA Public Health Coalition,Oxford,Ground Water,20,40
Maplebrook Apartments,Worcester,Central,Central MA Public Health Coalition,Oxford,Ground Water,3,33
Pinewood On The Green Condos,Worcester,Central,Central MA Public Health Coalition,Oxford,Ground Water,12,50
Toria Heights Condominium,Worcester,Central,Central MA Public Health Coalition,Oxford,Ground Water,6,60
Paxton Water Department,Worcester,Central,Central MA Public Health Coalition,Paxton,Purchased Surface Water,1346,4092
Cool Sandy Beach Community Water System,Worcester,Central,Central MA Public Health Coalition,Rutland,Ground Water,43,27
Rutland Water Department,Worcester,Central,Central MA Public Health Coalition,Rutland,Surface Water,1656,5498
Shrewsbury Water Department,Worcester,Central,Central MA Public Health Coalition,Shrewsbury,Ground Water,11467,35561
Southbridge Water Department,Worcester,Central,Central MA Public Health Coalition,Southbridge,Surface Water,4880,16880
Saint Josephs Abbey,Worcester,Central,Central MA Public Health Coalition,Spencer,Ground Water,6,54
Spencer Water Department,Worcester,Central,Central MA Public Health Coalition,Spencer,Ground Water,1864,7037
Sterling Water Department,Worcester,Central,Central MA Public Health Coalition,Sterling,Ground Water,2455,7400
Sturbridge Crossing Condominium,Worcester,Central,Central MA Public Health Coalition,Sturbridge,Ground Water,33,52
Sturbridge Retirement Coop. Corp.,Worcester,Central,Central MA Public Health Coalition,Sturbridge,Ground Water,227,320
Sturbridge Water Department,Worcester,Central,Central MA Public Health Coalition,Sturbridge,Ground Water,1806,4597
Manchaug Water District Of Sutton,Worcester,Central,Central MA Public Health Coalition,Sutton,Ground Water,173,476
Wilkinsonville Water District,Worcester,Central,Central MA Public Health Coalition,Sutton,Ground Water,930,2662
Templeton Munic. Light And Water Plant,Worcester,Central,Central MA Public Health Coalition,Templeton,Ground Water,2231,6123
Rockwood Meadows,Worcester,Central,Central MA Public Health Coalition,Upton,Ground Water,63,80
Upton DPW Water/Wastewater Division,Worcester,Central,Central MA Public Health Coalition,Upton,Ground Water,1506,4338
"Uxbridge DPW, Water Division",Worcester,Central,Central MA Public Health Coalition,Uxbridge,Ground Water,3382,11026
Evergreen Mobile Home Park,Worcester,Central,Central MA Public Health Coalition,Warren,Ground Water,32,84
Heritage Village Mobile Park,Worcester,Central,Central MA Public Health Coalition,Warren,Purchased Ground Water,105,158
Warren Water District,Worcester,Central,Central MA Public Health Coalition,Warren,Ground Water,632,2270
West Warren Water District,Worcester,Central,Central MA Public Health Coalition,Warren,Ground Water,283,927
Webster Water Department,Worcester,Central,Central MA Public Health Coalition,Webster,Ground Water,4886,16767
West Boylston Water District,Worcester,Central,Central MA Public Health Coalition,West Boylston,Ground Water,2701,7524
Madden Estates,Worcester,Central,Central MA Public Health Coalition,West Brookfield,Ground Water,23,50
West Brookfield Water Department,Worcester,Central,Central MA Public Health Coalition,West Brookfield,Ground Water,1007,2118
Holmes Park Water District,Worcester,Central,Central MA Public Health Coalition,Westminster,Purchased Surface Water,49,131
Leino Park Water District,Worcester,Central,Central MA Public Health Coalition,Westminster,Purchased Surface Water,57,80
Westminster Department Of Public Works,Worcester,Central,Central MA Public Health Coalition,Westminster,Purchased Surface Water,1276,3575
Winchendon Water Department,Worcester,Central,Central MA Public Health Coalition,Winchendon,Purchased Surface Water,2116,5706
"Worcester DPWP, Water Supply Division",Worcester,Central,Central MA Public Health Coalition,Worcester,Surface Water,42916,181045
Northborough Water Department (MWRA),Worcester,Metro West,Central MA Public Health Coalition,Northborough,Purchased Surface Water,4226,11482
Westborough State Hospital (MWRA),Worcester,Metro West,Central MA Public Health Coalition,Westborough,Purchased Surface Water,4,150
Westborough Water Department,Worcester,Metro West,Central MA Public Health Coalition,Westborough,Ground Water,5370,18272
Southborough DPW Water Division (MWRA),Worcester,Metro West,Region 4AB PHEP Coalition,Southborough,Purchased Surface Water,3297,10392
Athol DPW Water Division,Worcester,Western,Central MA Public Health Coalition,Athol,Ground Water,3268,10199
Sisters Of The Assumption Residence,Worcester,Western,Central MA Public Health Coalition,Petersham,Ground Water,1,0
South Royalston Improvement Corp.,Worcester,Western,Central MA Public Health Coalition,Royalston,Ground Water,57,275
